symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
21STCENMGM.NS,21ST CENTURY MANAG,53.59374999999999,29.7,64,11.7,35.078,39.29725,29.7,29.7,29.7,30.3,5768
3MINDIA.NS,3M INDIA LTD,36.46032258064516,19697.3,31000,19374.1,22119.873,24277.031,19677,19998.9,19510,19528.65,5982
5PAISA.NS,5PAISA CAPITAL LTD,40.56896551724138,344.7,580,252,353.017,427.5795,358,358,342,353.15,32018
AARTIDRUGS.NS,AARTI DRUGS LTD,49.025896887621755,429.1,841.8,419,477.092,573.66376,432,442.8,425.9,430.45,503015
AARTIIND.NS,AARTI IND LTD,18.095034246575345,956.65,1168,657.5,934.852,951.21576,949.5,962,941.05,941.95,807250
AARTISURF.NS,Aarti Surfactants Limited,60.21197668256492,750.8,1887,745,849.411,1197.2235,760,769.7,749.95,752.3,22211
ABBOTINDIA.NS,ABBOTT INDIA LTD,26.036111128519778,17702.85,23934.45,14586.05,16776.672,18571.246,17220,17750.1,17149.95,17276.3,37972
ABCAPITAL.NS,ADITYA BIRLA CAPIT,22.66522988505746,107.65,139.2,96.35,111.531,113.48925,108.4,108.75,107.2,108.4,1898861
ACC.NS,ACC LIMITED,16.904210119737353,2151.35,2589,1782.25,2146.208,2256.2363,2154.8,2170.3,2143.25,2150.9,463994
ACCELYA.NS,ACCELYA SOLUTIONS,39.728518542573234,928,1539.7,837.15,987.843,1172.2625,938.75,950.55,920,934.05,22504
ACE.NS,ACTION CONSTRUCT,17.566409597257927,240.5,291.75,139.45,219.571,232.56525,223,242.3,223,223.05,1475892
ADANIPORTS.NS,ADANI PORT SPECIAL,14.073251942286344,774.2,901,638.1,721.17,727.2165,767.4,781,765.5,767.4,5464437
ADFFOODS.NS,ADF FOODS LTD,28.907463231935694,778.25,1094.7,676.1,776.832,844.6225,730,788,715.35,720.8,49826
ADORWELD.NS,ADOR WELDING,29.34560327198365,621.9,880.2,300.25,673.986,691.4775,606.2,629.9,605.6,604.45,15419
