symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
AHLADA.NS,Ahlada Engineers Limited,204.9,2021-07-05 07:34:47,204.9,0,0,0,204.4,0,INR,NSI,Asia/Kolkata,IST,70,134.9,1.9271427,214,-9.100006,-0.04252339,39.9,165,4.1353383,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-8.700012,-4.0730395,214,203.8,214,213.6,157727,15,71.33275,133.56725,1.8724533,4.252336448598128
AHLWEST.NS,ASIAN HOTELS (WEST,231.9,2021-07-05 07:33:36,232,0,13340,15856,230.5,0,INR,NSI,Asia/Kolkata,IST,217.94,13.959991,0.06405429,339.4,-107.5,-0.31673542,191,40.899994,0.2141361,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,3.0999908,1.3548911,232.65,226.85,232.05,228.8,9930,15,230.14156,1.7584381,0.0076406808,31.673541543900992

AKASH.NS,Akash Infra-Projects Ltd,236.85,2021-07-05 07:32:26,237.9,0,78082,43256,236.9,0,INR,NSI,Asia/Kolkata,IST,218.25714,18.592865,0.08518789,281,-44.149994,-0.15711741,97,139.85,1.4417527,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-3,-1.2507817,248,233.3,248,239.85,64746,15,220.56444,16.285568,0.07383587,15.711743772241997
ALCHEM.NS,ALCHEMIST LTD,3.8,2021-07-05 07:22:04,0,0,1799,4067,3.8,0,INR,NSI,Asia/Kolkata,IST,3.4,0.39999986,0.117647015,11.45,-7.6499996,-0.66812223,3.05,0.75,0.24590164,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.14999986,4.109585,3.8,3.5,3.7,3.65,17615,15,4.2580986,-0.45809865,-0.10758291,66.8122270742358
AMARAJABAT.NS,AMARA RAJA BATTERI,748.5,2021-07-05 07:34:49,748.75,0,636036,1918239,748.65,0,INR,NSI,Asia/Kolkata,IST,757.1643,-8.664307,-0.0114431,1025.55,-277.05005,-0.27014777,663.95,84.54999,0.12734391,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.9500122,0.26120317,753.65,747.25,749,746.55,424205,15,858.2715,-109.771484,-0.12789832,27.01477256106479
AMBER.NS,AMBER ENTERPRISES,3018.95,2021-07-05 07:34:49,3018.95,0,141146,103741,3017,0,INR,NSI,Asia/Kolkata,IST,2839.1943,179.75562,0.06331219,3662,-643.05005,-0.17560078,1442.3,1576.6499,1.0931498,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,62.44995,2.1122932,3029,2969.35,2980,2956.5,141809,15,2924.9922,93.95776,0.0321224,17.560076460950306
ANSALAPI.NS,ANSAL PROPS & INFR,8.15,2021-07-05 07:16:24,8.1,0,176561,240436,8,0,INR,NSI,Asia/Kolkata,IST,7.412857,0.73714256,0.09944109,13.55,-5.4000006,-0.39852402,3.6,4.5499997,1.2638888,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.19999981,2.5157208,8.25,7.9,8.25,7.95,114298,15,7.6165495,0.5334501,0.0700383,39.85239852398524
APLLTD.NS,ALEMBIC PHARMACEUT,1003,2021-07-05 07:34:36,1003,0,230369,429297,1002.4,0,INR,NSI,Asia/Kolkata,IST,970.9986,32.001404,0.032957207,1145,-142,-0.12401747,864.3,138.70001,0.1604767,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,18,1.8274112,1016.7,987.95,993,985,631232,15,976.48553,26.514465,0.027152952,12.40174672489083
ARCOTECH.NS,ARCOTECH LTD,1.7,2021-07-05 07:29:49,0,0,10070,18218,0,0,INR,NSI,Asia/Kolkata,IST,1.5428572,0.15714288,0.101851866,4.1,-2.3999999,-0.58536583,1.4,0.30000007,0.21428578,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.05000007,3.0303073,1.7,1.7,1.7,1.65,50201,15,1.968662,-0.26866198,-0.13646932,58.53658536585365
