symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,21.236935483870973,24416.55,31000,18024.25,24480.486,24978.414,23810,24966.15,23704.85,23692.6,9917
AARTIDRUGS.NS,AARTI DRUGS LTD,36.004674034763134,657.2,1026.95,518.3,702.13055,708.2042,648.15,662,645.2,644.25,117138
ADANIGREEN.NS,ADANI GREEN ENERGY,34.31654676258993,913,1390,351,988.24164,1106.2388,890,920,885,901.5,2084485
ADANIPORTS.NS,ADANI PORT SPECIAL,22.12541620421754,701.65,901,312.1,697.1847,711.2493,701,710.4,700,699.15,4143515
ADANITRANS.NS,ADANI TRANSMISS.IN,42.18669260463844,951,1644.95,230.1,991.1055,995.07306,950,959,918,946.7,43341
AFFLE.NS,Affle (India) Limited,34.12296262120862,4140.8,6285.65,2060,4343.1973,4980.049,4100,4160,4060.8,4102.15,102511
AGCNET.NS,AGC NETWORKS LTD,34.29714285714286,1149.8,1750,302,1193.9569,1220.0101,1090.1,1149.85,1074.1,1130.6,801
AKASH.NS,Akash Infra-Projects Ltd,36.29893238434164,179,281,157.9,213.31667,215.0098,183.3,185.95,177.7,180.4,7986
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7069445,3.7534964,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,28.984447369704064,728.3,1025.55,693.15,730.7208,812.6608,724,733,720.7,719.3,513677
AMBER.NS,AMBER ENTERPRISES,20.1010376843255,2925.9,3662,1655,2982.4028,3026.1094,2859.7,2939.85,2858.45,2835.75,41139
APLLTD.NS,ALEMBIC PHARMACEUT,34.0349344978166,755.3,1145,744.3,907.5958,943.2902,760,766.05,753.55,762.2,227010
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.775,1.7933567,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,36.02339181286549,27.35,42.75,9.55,30.922222,31.553146,26.05,27.7,26.05,26.65,16444
ASIANTILES.NS,ASIAN GRANITO INDI,45.760558907589704,170.8,314.9,138.15,179.94722,188.11119,170,173.5,169,166.1,155996
ASTRAZEN.NS,ASTREZENECA PHARMA,35.47887323943662,3206.7,4970,3005,3505.6973,3600.5435,3178,3219,3170.75,3178.95,8752
ATGL.NS,ADANI TOTAL GAS LIMITED,46.396664681357954,900,1679,155.3,942.9583,967.4168,894.55,901,885,900.1,43598
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,62.70207852193996,16.15,43.3,15.3,16.566668,23.041958,17.2,17.2,16.15,16.15,14946
BANDHANBNK.NS,BANDHAN BANK LTD,31.588112375203163,294.65,430.7,251.4,312.15973,322.3986,295.2,296.7,292.4,295.2,2915231
BANKA.NS,Banka BioLoo Limited,16.71486408328514,72,86.45,27.9,68.15139,68.75944,73.65,73.7,70.4,70.75,5130
BCP.NS,B.C. Power Controls Ltd,54.597701149425276,3.95,8.7,2.85,3.848611,3.9800699,3.75,4.05,3.75,3.75,547020
BIOCON.NS,BIOCON LTD,23.813429010763706,371.6,487.75,363.25,393.79443,395.9042,373,375.7,371.15,372.65,691934
BIOFILCHEM.NS,BIOFIL CHEMICALS &,80.98848638023027,67.7,356.1,28.4,70.85139,74.58566,67,68.45,67,67,12415
BLISSGVS.NS,BLISS GVS PHARMA,48.3710407239819,114.1,221,91.65,112.486115,125.612236,113.75,116.5,113.4,113.1,375675
BLUESTARCO.NS,BLUE STAR,17.386852344869965,806.8,976.6,513.15,842.2222,845.3619,808,819.65,790.55,807.05,32462
CANDC.NS,C & C CONSTRUCTION,55.483870967741936,3.45,7.75,1.95,4.0430555,4.8646855,3.45,3.7,3.4,3.55,18593
CEATLTD.NS,CEAT LTD,25.90470788428815,1306.3,1763,861,1356.3167,1437.914,1298,1313.95,1286.5,1286.5,84506
CHOLAFIN.NS,CHOLAMANDALAM INV,15.383975372327154,508.5,600.95,210.1,511.06946,527.5472,503,514.3,498.35,501.55,1173311
CUB.NS,CITY UNION BANK,23.924999999999997,152.15,200,116.55,159.36528,165.393,152.85,153.55,151.05,152.15,628311
DCBBANK.NS,DCB BANK LIMITED,27.470355731225297,91.75,126.5,74.3,103.03611,104.325874,92.8,92.8,91.1,91.25,716439
DHANI.NS,DHANI SERVICES LIMITED,46.45788609672939,212,395.95,155.1,200.42223,231.71573,202.5,212.8,196.6,198.5,1926025
DHFL.NS,DEWAN HOUSING FIN,61.026837806301046,16.7,42.85,12.05,16.7,17.26993,16.7,16.7,16.7,16.7,2454074
DQE.NS,DQ ENTERTAINMENT I,39.39393939393939,1,1.65,0.85,0.9861111,1.0314685,0.95,1,0.9,0.95,103267
ENGINERSIN.NS,ENGINEERS INDIA,21.91854233654877,72.85,93.3,60.4,77.077774,77.725876,73.1,73.4,72.7,72.75,1385667
EROSMEDIA.NS,EROS INTL MEDIA,46.26865671641791,19.8,36.85,17.75,24.98611,25.742657,19,19.8,19,18.9,510288
