SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
20MICRONS,20 Microns Limited,EQ,06-Oct-2008,5,1,INE144J01027,5,"'20MICRONS.NS',",,,,,,,,,,,,,,,,,
21STCENMGM,21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10,"'21STCENMGM.NS',",,,,,,,,,,,,,,,,,
3IINFOTECH,3i Infotech Limited,EQ,22-Apr-2005,10,1,INE748C01020,10,"'3IINFOTECH.NS',",,,,,,,,,,,,,,,,,
3MINDIA,3M India Limited,EQ,13-Aug-2004,10,1,INE470A01017,10,"'3MINDIA.NS',",,,,,,,,,,,,,,,,,
3PLAND,3P Land Holdings Limited,EQ,19-Jul-1995,2,1,INE105C01023,2,"'3PLAND.NS',",,,,,,,,,,,,,,,,,
5PAISA,5Paisa Capital Limited,EQ,16-Nov-2017,10,1,INE618L01018,10,"'5PAISA.NS',",,,,,,,,,,,,,,,,,
63MOONS,63 moons technologies limited,BE,20-Jun-2005,2,1,INE111B01023,2,"'63MOONS.NS',",,,,,,,,,,,,,,,,,
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-Dec-2010,10,1,INE619I01012,10,"'A2ZINFRA.NS',",,,,,,,,,,,,,,,,,
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-2020,10,1,INE087Z01016,10,"'AAKASH.NS',",,,,,,,,,,,,,,,,,
AARON,Aaron Industries Limited,BE,06-Nov-2020,10,1,INE721Z01010,10,"'AARON.NS',",,,,,,,,,,,,,,,,,
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-2003,10,1,INE767A01016,10,"'AARTIDRUGS.NS',",,,,,,,,,,,,,,,,,
AARTIIND,Aarti Industries Limited,EQ,08-Feb-1995,5,1,INE769A01020,5,"'AARTIIND.NS',",,,,,,,,,,,,,,,,,
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-2020,10,1,INE09EO01013,10,"'AARTISURF.NS',",,,,,,,,,,,,,,,,,
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-Nov-2006,10,1,INE273D01019,10,"'AARVEEDEN.NS',",,,,,,,,,,,,,,,,,
AARVI,Aarvi Encon Limited,EQ,24-Jun-2020,10,1,INE754X01016,10,"'AARVI.NS',",,,,,,,,,,,,,,,,,
AAVAS,Aavas Financiers Limited,EQ,08-Oct-2018,10,1,INE216P01012,10,"'AAVAS.NS',",,,,,,,,,,,,,,,,,
ABAN,Aban Offshore Limited,EQ,29-Mar-1995,2,1,INE421A01028,2,"'ABAN.NS',",,,,,,,,,,,,,,,,,
ABB,ABB India Limited,EQ,08-Feb-1995,2,1,INE117A01022,2,"'ABB.NS',",,,,,,,,,,,,,,,,,
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-2010,10,1,INE358A01014,10,"'ABBOTINDIA.NS',",,,,,,,,,,,,,,,,,
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-2017,10,1,INE674K01013,10,"'ABCAPITAL.NS',",,,,,,,,,,,,,,,,,
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-2013,10,1,INE647O01011,10,"'ABFRL.NS',",,,,,,,,,,,,,,,,,
ABMINTLTD,ABM International Limited,EQ,14-Jun-2016,10,1,INE251C01017,10,"'ABMINTLTD.NS',",,,,,,,,,,,,,,,,,
ACC,ACC Limited,EQ,20-Nov-1996,10,1,INE012A01025,10,"'ACC.NS',",,,,,,,,,,,,,,,,,
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-1999,10,1,INE793A01012,10,"'ACCELYA.NS',",,,,,,,,,,,,,,,,,
